#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.168.100.1,52120,86448,0,86447,65,1176988706,86381,1176988708,1,2,0,1,1,192.168.101.1,22,138518,0,138518,128250,374916,10266,374916,0,0,0,1,1,1.56524E+12,1.56524E+12,98621.526,32.561,71.064,98587.225,98586.708,32.222,63.231,1,1,0,0,0,0,0,30.169955,29.989,74.223,0.370788,43027,64,64,3.24672,0.005,45.595,1.59565,10199,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2101760,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1188,28,32,0,0,0,0,0,0,0,0,0,0,0,---,801,10266,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,226.5346321,95.47519741
192.168.100.1,52238,87199,0,87198,88,1206413346,87109,1206413348,1,2,0,1,1,192.168.101.1,22,139709,0,139709,129199,383736,10508,383736,0,0,0,1,1,1.56524E+12,1.56524E+12,101611.089,32.532,71.232,101576.191,101575.668,32.211,63.187,1,1,0,0,0,0,0,30.192602,30.003,74.24,0.372422,43013,64,64,3.201707,0.005,46.606,1.915686,10421,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2085340,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1158,10508,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,224.7133621,94.98281023
192.168.100.1,52368,78154,0,78153,71,1076104226,78081,1076104228,1,2,0,1,1,192.168.101.1,22,128526,0,128526,119168,342876,9356,342876,0,0,0,1,1,1.56524E+12,1.56524E+12,91215.222,42.457,70.241,91182.01,91181.516,31.852,70.241,1,1,0,0,0,0,0,30.172966,29.995,73.784,0.411214,34982,64,64,3.206291,0.007,46.941,1.995759,9291,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2085340,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1394,9356,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,226.102136,94.37935506
192.168.100.1,52482,88315,0,88314,81,1219023905,88232,1219023908,2,3,0,1,1,192.168.101.1,22,141168,0,141168,130531,388848,10635,388848,0,0,0,1,1,1.56524E+12,1.56524E+12,103200.04,32.737,72.008,103166.23,103165.749,32.379,63.317,1,1,0,0,0,0,0,30.178039,29.994,73.042,0.359256,44396,64,64,3.281932,0.005,44.724,2.014587,10542,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2085340,16,32,0,0,0,0,2,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1451,10635,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,228.3990033,94.49794074
192.168.100.1,52608,77728,0,77727,74,1067695688,77652,1067695688,0,0,0,1,1,192.168.101.1,22,129800,0,129800,120500,338844,9298,338844,0,0,0,1,1,1.56524E+12,1.56524E+12,89495.222,32.498,70.904,89460.992,89459.963,32.181,63.032,1,1,0,0,0,0,0,30.170836,29.99,73.939,0.40571,34891,64,64,3.247853,0.008,44.623,1.94131,9231,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64000,0,2085340,16,32,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1080,28,3145728,64128,0,1080,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1005,9298,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,225.6281529,95.44158127
192.168.100.1,52726,88649,0,88648,74,1210616867,88573,1210616868,1,1,0,1,1,192.168.101.1,22,129985,0,129985,119438,384600,10545,384600,0,0,0,1,1,1.56524E+12,1.56524E+12,102246.349,32.348,71.092,102211.52,102210.955,32.04,62.808,1,1,0,0,0,0,0,30.170773,29.997,73.69,0.345675,49486,64,64,3.229939,0.005,45.236,1.85885,10478,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64000,0,2085340,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1139,10545,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,226.390555,94.72157235
192.168.100.1,52848,81979,0,81978,80,1134953508,81897,1134953508,0,0,0,1,1,192.168.101.1,22,121267,0,121267,111357,362856,9908,362856,0,0,0,1,1,1.56524E+12,1.56524E+12,95649.636,32.768,70.739,95615.489,95614.885,32.459,63.354,1,1,0,0,0,0,0,30.194099,29.983,73.833,0.356476,44951,64,64,3.191866,0.005,44.121,1.957904,9814,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2085340,16,32,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1434,9908,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,225.952081,94.92590295
192.168.100.1,52956,88788,0,88787,83,1223227425,88703,1223227428,1,3,0,1,1,192.168.101.1,22,130784,0,130784,120129,388992,10653,388992,0,0,0,1,1,1.56524E+12,1.56524E+12,102563.424,32.595,70.488,102529.422,102528.814,32.292,63.093,1,1,0,0,0,0,0,30.193307,29.992,73.969,0.348828,49158,64,64,3.260703,0.006,45.47,1.929114,10574,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,4,64256,64128,0,2085340,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1128,10653,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,225.5366437,95.41237063
192.168.100.1,53088,90813,0,90812,84,1252652065,90727,1252652068,1,3,0,1,1,192.168.101.1,22,130716,0,130716,119803,398244,10911,398244,0,0,0,1,1,1.56524E+12,1.56524E+12,106549.532,32.67,70.815,106515.603,106514.835,32.346,63.292,1,1,0,0,0,0,0,30.192772,29.987,72.608,0.32242,55165,64,64,3.150781,0.005,47.13,1.892211,10824,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64000,0,2085340,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,777,10911,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,229.7642133,94.05218733
192.168.100.1,53222,87894,0,87893,89,1206413346,87803,1206413348,1,2,0,1,1,192.168.101.1,22,131158,0,131158,120631,385320,10525,385320,0,0,0,1,1,1.56524E+12,1.56524E+12,101138.429,32.564,70.776,101104.655,101103.59,32.285,63.25,1,1,0,0,0,0,0,30.178046,29.984,74.527,0.375775,45282,64,64,3.146545,0.008,47.797,1.764043,10423,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64000,0,2091624,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145216,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1104,10525,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,224.5225489,95.42670258
