#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.168.100.1,39526,102837,0,102836,1421,1223229737,101414,1223252908,5,23171,0,1,1,192.168.101.1,22,215662,0,215662,204999,392124,10661,392232,1,108,632,1,1,1.56547E+12,1.56547E+12,102905.646,53.029,112.236,102851.519,102851.412,52.716,103.703,1,1,0,0,0,0,0,47.751543,35.292,93.207,4.339206,26211,64,64,2.090132,0.002,41.366,1.763482,9450,63,63,0,0,0,0,0,0,1,1,7,1,1344,1460,65160,12,64256,63872,0,2183860,16,32,0,4,0,0,1,0,0,0,0,1,1,7,1,148627,1460,1116,28,3145728,60544,0,1440,28,32,25,577,29,0,2,0,0,0,0,0,0,---,946,10028,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,187.4417158,95.09704904
192.168.100.1,39656,98468,0,98467,1294,1168583977,97172,1168592668,4,8691,0,1,1,192.168.101.1,22,209331,0,209331,199153,374232,10176,374340,1,108,574,1,1,1.56547E+12,1.56547E+12,99209.833,52.559,110.036,99154.012,99153.824,52.229,103.474,1,1,0,0,0,0,0,47.702012,36.014,94.829,4.375018,24093,64,64,2.088541,0.002,43.057,2.002958,9069,63,63,0,0,0,0,0,0,1,1,7,1,1378,1460,65160,12,64256,63872,0,2184380,16,32,0,0,0,0,4,0,0,0,0,1,1,7,1,144320,1460,1100,28,3145728,64128,0,1656,28,32,40,519,15,0,1,0,0,0,0,0,0,---,928,9601,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,184.2794926,94.23200364
192.168.100.1,39800,100370,0,100369,1372,1176991019,98996,1177001156,4,10137,0,1,1,192.168.101.1,22,210713,0,210713,200481,374808,10230,374844,1,36,606,1,1,1.56547E+12,1.56548E+12,99042.796,52.771,111.641,98998.544,98998.45,52.432,103.332,1,1,0,0,0,0,0,47.537522,34.816,94.699,4.447131,23971,64,64,2.040724,0.004,43.932,1.871037,9032,63,63,0,0,0,0,0,0,1,1,7,1,1344,1460,65160,12,64256,64000,0,2183860,16,32,0,0,0,0,4,0,0,0,0,1,1,7,1,145666,1460,1100,28,3145728,64128,0,1116,28,32,26,561,19,0,1,0,0,0,0,0,0,---,960,9623,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,184.4885374,95.07010735
192.168.100.1,39962,105908,0,105907,1444,1244247337,104462,1244256028,4,8691,0,1,1,192.168.101.1,22,223533,0,223533,212738,395832,10793,395976,1,144,617,1,1,1.56548E+12,1.56548E+12,104719.73,42.634,101.678,104663.941,104663.799,42.335,83.305,1,1,0,0,0,0,0,47.660204,30.729,96.779,4.413667,26101,64,64,2.097046,0.004,43.659,1.758364,9513,63,63,0,0,0,0,0,0,1,1,7,1,1487,1460,65160,12,64256,64128,0,2183860,16,32,0,2,0,0,2,0,0,0,0,1,1,7,1,155001,1460,1100,28,3145728,64128,0,1100,28,32,0,595,22,0,1,0,0,0,0,0,0,---,931,10173,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,180.5234607,95.05418152
192.168.100.1,40114,94824,0,94823,1338,1130752299,93484,1130775468,5,23169,0,1,1,192.168.101.1,22,205012,0,205012,195145,362352,9865,362388,1,36,597,1,1,1.56548E+12,1.56548E+12,96005.652,52.628,102.164,95948.678,95948.559,52.294,93.336,1,1,0,0,0,0,0,47.515213,34.646,92.642,4.452828,22647,64,64,2.126563,0.002,42.487,1.894319,8726,63,63,0,0,0,0,0,0,1,1,7,1,1337,1460,65160,12,64256,63616,0,2183860,16,32,0,0,0,0,5,0,0,0,0,1,1,7,1,142578,1460,1100,28,3145728,64128,0,2628,28,32,44,545,8,0,1,0,0,0,0,0,0,---,970,9267,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,188.5848751,94.22574146
192.168.100.1,40244,105361,0,105360,1416,1240043820,103943,1240052508,2,8688,0,1,1,192.168.101.1,22,222258,0,222258,211470,394536,10786,394680,1,144,612,1,1,1.56548E+12,1.56548E+12,105667.034,52.891,110.801,105622.204,105622.106,52.525,103.49,1,1,0,0,0,0,0,47.671401,33.456,92.862,4.377583,25942,64,64,2.030892,0.002,43.344,1.7759,9558,63,63,0,0,0,0,0,0,1,1,7,1,1356,1460,65160,12,64256,64128,0,2183860,16,32,0,0,0,0,2,0,0,0,0,1,1,7,1,154201,1460,1100,28,3145728,64128,0,1100,28,32,22,564,26,0,1,0,0,0,0,0,0,---,948,10173,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,188.1380974,93.88377518
192.168.100.1,40386,99390,0,99389,1363,1181194538,98025,1181219156,8,24618,0,1,1,192.168.101.1,22,206899,0,206899,196577,380208,10320,380280,1,72,620,1,1,1.56548E+12,1.56548E+12,103704.077,52.731,111.172,103649.685,103649.589,52.402,103.358,1,1,0,0,0,0,0,47.554215,32.491,94.58,4.422124,23677,64,64,2.020246,0.002,40.769,1.667749,9172,63,63,0,0,0,0,0,0,1,1,7,1,1485,1460,65160,12,64256,63488,0,2182412,16,32,0,6,0,0,2,0,0,0,0,1,1,7,1,144770,1460,1100,28,3145728,64128,0,1980,28,32,60,550,10,0,1,0,0,0,0,0,0,---,966,9699,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,184.5981814,91.1222926
192.168.100.1,40552,89962,0,89961,1262,1071901519,88698,1071910208,4,8689,0,1,1,192.168.101.1,22,182928,0,182928,173541,346476,9385,346548,1,72,564,1,1,1.56548E+12,1.56548E+12,90680.063,52.824,102.063,90625.818,90625.722,52.498,83.51,1,1,0,0,0,0,0,47.644416,30.682,93.472,4.388931,21972,64,64,2.136623,0.002,43.861,1.911757,8266,63,63,0,0,0,0,0,0,1,1,7,1,1223,1460,65160,12,64256,63744,0,2183860,16,32,0,2,0,0,2,0,0,0,0,1,1,7,1,124691,1460,1080,28,3145728,60672,0,1656,28,32,38,514,12,0,1,0,0,0,0,0,0,---,976,8820,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,186.9103047,94.56633995
192.168.100.1,40698,104647,0,104646,1431,1240043815,103214,1240052508,5,8693,0,1,1,192.168.101.1,22,212311,0,212311,201533,393960,10776,394032,2,72,609,1,1,1.56548E+12,1.56548E+12,104400.929,43.023,102.727,104342.791,104342.682,42.706,93.799,1,1,0,0,0,0,0,47.656517,34.927,94.815,4.392761,25917,64,64,2.108609,0.004,44.016,1.874782,9509,63,63,0,0,0,0,0,0,1,1,7,1,1292,1460,65160,12,64256,64128,0,2130256,16,32,0,3,0,0,2,0,0,0,0,1,1,7,1,144053,1460,1100,28,3145728,60032,0,1136,28,32,1,580,28,0,2,0,0,0,0,0,0,---,938,10165,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,179.7399989,95.02233514
192.168.100.1,40844,107674,0,107673,1494,1248450860,106178,1248469684,7,18824,0,1,1,192.168.101.1,22,214534,0,214534,203679,397128,10853,397236,1,108,667,1,1,1.56548E+12,1.56548E+12,105024.897,53.028,112.13,104967.294,104967.187,52.717,103.776,1,1,0,0,0,0,0,47.654014,34.73,94.024,4.379523,26927,64,64,2.032742,0.003,42.561,1.727968,9544,63,63,0,0,0,0,0,0,1,1,7,1,1524,1460,65160,12,64256,63872,0,2183860,16,32,0,4,0,0,3,0,0,0,0,1,1,7,1,143949,1460,1100,28,3145728,64128,0,1136,28,32,19,639,9,0,1,0,0,0,0,0,0,---,963,10183,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,185.8129839,95.09895041
