#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 33294 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50317 8 0 8 4 1906 2 1906 0 0 0 1 1 1536926602316.121094 1536926602535.878906 219.758000 25.101000 51.556000 153.972000 89.102000 24.168000 49.398000 1 1 0 0 8192 0 0 25.236413 24.144000 30.224000 2.444093 6 64 64 0.141996 0.009000 0.507000 0.243471 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 58.878000 89.102000 89.609000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 33292 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50317 8 0 8 4 1906 2 1906 0 0 0 1 1 1536926602316.055908 1536926602535.897949 219.842000 25.157000 51.294000 154.083000 89.184000 24.200000 49.467000 1 1 0 0 8192 0 0 25.256079 24.165000 30.256000 2.450045 6 64 64 0.222744 0.020000 0.807000 0.389549 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 58.928000 89.184000 89.991000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 33290 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50317 8 0 8 4 1906 2 1906 0 0 0 1 1 1536926602315.989990 1536926602535.992920 220.003000 25.192000 50.988000 154.087000 89.180000 24.216000 49.521000 1 1 0 0 8192 0 0 25.240413 24.174000 30.207000 2.433906 6 64 64 0.148996 0.009000 0.516000 0.245027 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 58.973000 89.180000 89.696000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 33288 20 0 19 3 11218 15 11218 0 0 0 1 1 172.16.1.1 50317 14 0 14 10 1906 2 1906 0 0 0 1 1 1536926602315.721924 1536926602536.029053 220.307000 24.723000 50.826000 154.339000 80.826000 24.335000 48.948000 1 1 0 0 8192 0 0 27.719602 24.116000 63.697000 11.362957 12 64 64 0.132997 0.007000 0.450000 0.212617 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 8279 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 54528 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 15 2 - - 0 0 0 53.641000 80.826000 81.276000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 43458 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50509 7 0 7 3 1906 2 1906 0 0 0 1 1 1536926609457.926025 1536926609625.660889 167.735000 25.236000 50.568000 89.438000 88.823000 24.132000 49.346000 1 1 0 0 8192 0 0 25.416892 24.100000 30.315000 2.741622 5 64 64 0.143496 0.008000 0.540000 0.264345 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 58.508000 88.823000 89.363000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 43456 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50509 7 0 7 3 1906 2 1906 0 0 0 1 1 1536926609457.850098 1536926609625.770020 167.920000 25.287000 50.623000 89.494000 88.861000 24.129000 49.413000 1 1 0 0 8192 0 0 25.420092 24.112000 30.294000 2.728286 5 64 64 0.152746 0.008000 0.572000 0.279525 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 58.567000 88.861000 89.433000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 43454 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50509 7 0 7 3 1906 2 1906 0 0 0 1 1 1536926609457.761963 1536926609625.844971 168.083000 25.349000 50.678000 85.453000 84.822000 24.114000 49.476000 1 1 0 0 8192 0 0 24.534109 24.098000 26.204000 0.933433 5 64 64 0.158996 0.016000 0.575000 0.277387 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 58.618000 84.822000 85.397000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 43452 21 0 20 3 22185 16 22185 0 0 0 1 1 172.16.1.1 50509 14 0 14 10 1906 2 1906 0 0 0 1 1 1536926609457.543945 1536926609625.946045 168.402000 24.782000 49.338000 104.749000 79.625000 24.142000 48.884000 1 1 0 0 8192 0 0 24.403956 24.096000 27.023000 0.920255 10 64 64 0.156996 0.008000 0.574000 0.278235 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 2896 38 47104 42340 0 16271 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 74496 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 13 2 - - 0 0 0 52.602000 79.625000 80.199000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 37988 9744 0 9743 3 67936386 9739 67949418 9 13032 0 1 1 172.16.1.1 50907 8021 0 8021 8017 1906 2 1906 0 0 0 1 1 1536926609071.364990 1536926621375.867920 12304.503000 24.947000 49.723000 12065.202000 88.635000 24.105000 49.051000 1 1 0 0 8192 0 0 24.381222 24.082000 31.507000 0.515787 2335 64 64 0.204745 0.013000 0.768000 0.375525 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 50680 1 47104 42340 0 293541 1 343 0 5 0 0 4 0 0 0 0 1 1 8 1 1956 1460 1018 888 679424 23552 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 8421 2 - - 0 0 0 57.997000 88.635000 89.403000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 37986 9658 0 9657 3 68057142 9653 68071622 10 14480 0 1 1 172.16.1.1 50907 7881 0 7881 7877 1906 2 1906 0 0 0 1 1 1536926609071.300049 1536926621375.883057 12304.583000 24.726000 49.482000 12065.294000 88.684000 24.108000 48.846000 1 1 0 0 8192 0 0 24.382347 24.090000 34.446000 0.533004 2196 64 64 0.198745 0.008000 0.764000 0.376839 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 49232 21 47104 42340 0 296019 1 343 0 5 0 0 5 0 0 0 0 1 1 8 1 1948 1460 1018 888 729344 11520 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 8316 2 - - 0 0 0 58.044000 88.684000 89.448000 0.000000 1713 0 - - 0.0 0.0 -
