#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 35352 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50868 7 0 7 3 1906 2 1906 0 0 0 1 1 1536944335447.384033 1536944335823.627930 376.244000 26.035000 281.067000 310.016000 309.468000 24.978000 50.286000 1 1 0 0 8192 0 0 24.894302 24.251000 26.447000 0.907518 5 64 64 0.148746 0.020000 0.493000 0.230085 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 283.021000 309.468000 309.961000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 35348 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50868 6 0 6 2 1906 2 1906 0 0 0 1 1 1536944335447.219971 1536944335823.677002 376.457000 253.532000 278.428000 307.485000 307.071000 25.073000 277.950000 1 1 0 0 8192 0 0 32.156757 24.367000 60.306000 15.762203 5 64 64 0.109747 0.012000 0.353000 0.163186 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 280.436000 307.071000 307.424000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 35350 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50868 7 0 7 3 1906 2 1906 0 0 0 1 1 1536944335447.305908 1536944335823.686035 376.380000 26.092000 50.760000 82.768000 82.379000 25.028000 50.356000 1 1 0 0 8192 0 0 25.060699 24.264000 27.413000 1.348492 5 64 64 0.104247 0.007000 0.332000 0.152590 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 54.966000 82.379000 82.711000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 35346 14 0 13 3 6100 9 6100 0 0 0 1 1 172.16.1.1 50868 10 0 10 6 1906 2 1906 0 0 0 1 1 1536944335446.917969 1536944335823.915039 376.997000 25.982000 50.757000 310.533000 80.783000 25.353000 50.398000 1 1 0 0 8192 0 0 29.814252 24.341000 63.987000 13.845728 8 64 64 0.136497 0.021000 0.424000 0.192296 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 4371 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 44032 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 9 2 - - 0 0 0 53.462000 80.783000 81.207000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 52732 10 0 9 3 1767 5 3136 1 1369 0 1 1 172.16.1.1 50729 9 0 9 5 1906 2 1906 0 0 0 1 1 1536944335056.522949 1536944336195.927002 1139.404000 25.390000 50.492000 312.747000 311.912000 24.436000 49.665000 1 1 0 0 8192 0 0 24.342113 24.275000 24.421000 0.064841 5 64 64 0.193995 0.013000 0.672000 0.319129 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 1 0 0 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 284.235000 311.912000 312.584000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 52728 10 0 8 3 1767 4 1767 1 0 0 2 1 172.16.1.1 50729 7 0 7 3 1906 2 1906 0 0 0 1 1 1536944335056.397949 1536944336195.958008 1139.560000 1021.146000 1045.895000 1074.566000 1074.187000 1020.813000 1045.525000 1 1 0 0 8192 0 0 24.865128 24.314000 26.332000 0.978811 4 64 64 0.120747 0.038000 0.329000 0.139498 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 1 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 1047.855000 1074.187000 1074.516000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 52726 10 0 9 3 1767 5 3136 1 1369 0 1 1 172.16.1.1 50729 9 0 9 5 1906 2 1906 0 0 0 1 1 1536944335055.955078 1536944336195.965088 1140.010000 25.638000 50.803000 313.300000 312.528000 24.942000 50.034000 1 1 0 0 8192 0 0 24.470911 24.290000 24.874000 0.237659 5 64 64 0.183245 0.011000 0.592000 0.273697 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 1 0 0 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 280.786000 312.528000 313.120000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 52730 17 0 16 3 9991 12 9991 0 0 0 1 1 172.16.1.1 50729 10 0 10 6 1906 2 1906 0 0 0 1 1 1536944335056.465088 1536944336195.970947 1139.506000 25.149000 50.365000 1074.556000 84.286000 24.455000 49.539000 1 1 0 0 8192 0 0 28.665570 24.209000 58.463000 11.293215 9 64 64 0.101997 0.011000 0.366000 0.176036 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 8262 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 50432 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 12 2 - - 0 0 0 55.018000 84.286000 84.652000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 56078 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50196 7 0 7 3 1906 2 1906 0 0 0 1 1 1536944340792.757080 1536944341165.791992 373.035000 24.807000 49.506000 78.534000 78.013000 24.476000 49.183000 1 1 0 0 8192 0 0 24.805704 24.325000 26.538000 0.968644 5 64 64 0.112747 0.015000 0.343000 0.154610 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 51.475000 78.013000 78.356000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 56084 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50196 8 0 8 4 1906 2 1906 0 0 0 1 1 1536944339796.949951 1536944341165.813965 1368.864000 25.319000 50.551000 1303.822000 85.738000 24.485000 49.611000 1 1 0 0 8192 0 0 31.299312 24.288000 61.279000 14.809245 6 64 64 0.155746 0.009000 0.550000 0.263089 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 33024 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 56.634000 85.738000 86.288000 0.000000 1713 0 - - 0.0 0.0 -
