#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 51376 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50046 9 0 9 5 1906 2 1906 0 0 0 1 1 1536962946555.394043 1536962946770.988037 215.594000 25.591000 50.808000 150.841000 88.369000 24.458000 49.989000 1 1 0 0 8192 0 0 25.304078 24.154000 30.170000 2.385523 6 64 64 0.114247 0.028000 0.336000 0.148217 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 58.199000 88.369000 88.705000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 51372 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50046 8 0 8 4 1906 2 1906 0 0 0 1 1 1536962946555.275879 1536962946771.003906 215.728000 25.699000 50.978000 150.901000 86.478000 24.640000 50.093000 1 1 0 0 8192 0 0 25.001417 24.207000 28.177000 1.561645 6 64 64 0.152246 0.010000 0.547000 0.263280 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 58.301000 86.478000 87.025000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 51370 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50046 8 0 8 4 1906 2 1906 0 0 0 1 1 1536962946554.877930 1536962946771.009033 216.131000 26.066000 50.733000 151.284000 86.943000 25.006000 50.450000 1 1 0 0 8192 0 0 25.066249 24.217000 28.266000 1.592844 6 64 64 0.139997 0.024000 0.458000 0.212426 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 58.677000 86.943000 87.401000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 51374 20 0 19 3 11218 15 11218 0 0 0 1 1 172.16.1.1 50046 18 0 18 14 1906 2 1906 0 0 0 1 1 1536962946555.335938 1536962946771.034912 215.699000 24.840000 49.495000 150.856000 79.773000 24.477000 49.159000 1 1 0 0 8192 0 0 24.441410 24.154000 27.121000 0.717920 16 64 64 0.125497 0.025000 0.353000 0.153372 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 8279 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 54528 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 15 2 - - 0 0 0 52.652000 79.773000 80.126000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 48294 5722 0 5721 3 70521189 5717 70532773 8 11584 0 1 1 172.16.1.1 50665 14580 0 14580 14576 1906 2 1906 0 0 0 1 1 1536962952568.226074 1536962967439.486084 14871.260000 24.963000 49.778000 14739.349000 83.582000 24.116000 49.086000 1 1 0 0 8192 0 0 24.512355 24.081000 39.196000 0.982939 1812 64 64 0.098748 0.008000 0.353000 0.169602 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 53576 6 47104 42340 0 820269 1 343 0 4 0 0 3 0 0 1 0 1 1 8 1 9605 1460 1018 888 589056 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4133 2 - - 0 0 0 55.579000 83.582000 83.935000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 48292 5819 0 5818 3 70731276 5814 70750100 13 18824 0 1 1 172.16.1.1 50665 14726 0 14726 14722 1906 2 1906 0 0 0 1 1 1536962952568.142090 1536962967439.663086 14871.521000 24.776000 49.845000 14741.398000 81.743000 24.110000 48.866000 1 1 0 0 8192 0 0 24.511367 24.083000 33.759000 0.939570 1812 64 64 0.099498 0.009000 0.363000 0.175679 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 57920 4 47104 42340 0 885053 1 343 0 7 0 0 6 0 0 0 0 1 1 8 1 9901 1460 1018 888 553472 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4245 2 - - 0 0 0 55.614000 81.743000 82.106000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 48290 6346 0 6345 3 70810931 6341 70826859 11 15928 0 1 1 172.16.1.1 50665 15140 0 15140 15136 1906 2 1906 0 0 0 1 1 1536962952568.063965 1536962967439.707031 14871.643000 24.825000 49.317000 14731.768000 77.595000 24.125000 48.925000 1 1 0 0 8192 0 0 24.544706 24.086000 37.528000 1.037805 1818 64 64 0.099748 0.009000 0.351000 0.167685 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 55024 2 47104 42340 0 287995 1 343 0 5 0 0 6 0 0 0 0 1 1 8 1 9614 1460 1018 888 654336 23040 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4605 2 - - 0 0 0 51.463000 77.595000 77.946000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 48288 5844 0 5843 4 70753604 5838 70768084 10 14480 0 1 1 172.16.1.1 50665 14659 0 14659 14655 1906 2 1906 0 0 0 1 1 1536962952564.579102 1536962967439.763916 14875.185000 24.569000 49.157000 14764.154000 79.092000 24.159000 48.702000 1 1 0 0 8192 0 0 24.524458 24.075000 38.752000 1.109964 1799 64 64 0.117997 0.011000 0.412000 0.196291 4 64 64 0 0 0 0 0 0 1 1 11 1 1 1460 56472 7 47104 42340 0 336032 1 343 0 2 0 0 8 0 0 0 0 1 1 8 1 9698 1460 1018 888 610048 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4182 2 - - 0 0 0 52.164000 79.092000 79.504000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 51844 12 0 11 3 2970 7 2970 0 0 0 1 1 172.16.1.1 50549 8 0 8 4 1906 2 1906 0 0 0 1 1 1536962971979.145996 1536962972203.625000 224.479000 25.615000 51.861000 159.497000 96.724000 24.125000 49.947000 1 1 0 0 8192 0 0 30.572563 24.099000 58.383000 12.874007 7 64 64 0.128997 0.013000 0.444000 0.210525 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 38656 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 7 2 - - 0 0 0 62.025000 96.724000 97.168000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 51842 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50549 8 0 8 4 1906 2 1906 0 0 0 1 1 1536962971979.054932 1536962972203.726074 224.671000 25.704000 51.591000 159.792000 90.163000 24.122000 50.032000 1 1 0 0 8192 0 0 24.842419 24.100000 28.066000 1.582269 6 64 64 0.187495 0.016000 0.686000 0.332359 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 62.097000 90.163000 90.849000 0.000000 1713 0 - - 0.0 0.0 -
