#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 36604 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50989 8 0 8 4 1906 2 1906 0 0 0 1 1 1537009286848.263916 1537009287077.797119 229.533000 25.201000 50.612000 166.344000 86.679000 24.397000 49.607000 1 1 0 0 8192 0 0 25.431576 24.369000 30.357000 2.414257 6 64 64 0.185995 0.018000 0.661000 0.316772 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 56.322000 86.679000 87.340000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 36598 23 0 22 3 11218 18 14341 3 3123 6 1 1 172.16.1.1 50989 21 0 21 17 1906 2 1906 0 0 0 1 1 1537009286837.689941 1537009287087.968018 250.278000 24.716000 49.472000 176.930000 81.737000 24.395000 49.046000 1 1 0 0 8192 0 0 26.276547 24.193000 34.286000 3.720915 8 64 64 0.087748 0.007000 0.282000 0.130362 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 8262 1 343 0 0 6 0 3 0 0 0 0 1 1 8 1 9 1460 1018 888 58368 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 9 2 - - 0 0 0 52.113000 81.737000 82.019000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 36600 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50989 8 0 8 4 1906 2 1906 0 0 0 1 1 1537009286848.274902 1537009287087.986084 239.711000 25.162000 50.678000 166.343000 86.647000 24.441000 49.611000 1 1 0 0 8192 0 0 27.138881 24.432000 34.389000 4.256364 6 64 64 0.174746 0.009000 0.637000 0.308608 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 56.269000 86.647000 87.284000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 36602 11 0 10 3 2825 6 2825 0 0 0 1 1 172.16.1.1 50989 8 0 8 4 1906 2 1906 0 0 0 1 1 1537009286848.272949 1537009287087.991943 239.719000 25.183000 50.691000 166.344000 86.677000 24.431000 49.617000 1 1 0 0 8192 0 0 27.131214 24.397000 34.466000 4.296172 6 64 64 0.173496 0.006000 0.644000 0.313910 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 0 0 0 0 0 0 0 1 1 8 1 0 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 56.304000 86.677000 87.321000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 55544 10 0 9 4 1767 4 1767 0 0 1 1 1 172.16.1.1 50063 8 0 8 4 1906 2 1906 0 0 0 1 1 1537009291816.207031 1537009291991.559082 175.352000 26.426000 51.968000 95.812000 93.629000 25.722000 51.968000 1 1 0 0 8192 0 0 28.921777 25.328000 39.318000 6.930956 4 64 64 0.881728 0.220000 2.169000 0.903831 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 1 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 3 2 - - 0 0 0 95.798000 93.629000 95.812000 0.000000 1730 0 - - 0.0 0.0 -
172.16.1.200 55540 19 0 18 4 12177 13 12177 0 0 7 1 1 172.16.1.1 50063 18 0 18 14 1906 2 1906 0 0 0 1 1 1537009291807.507080 1537009291993.802002 186.295000 27.059000 52.995000 118.945000 92.152000 26.213000 52.150000 1 1 0 0 8192 0 0 26.393227 24.456000 32.184000 2.872609 6 64 64 2.230694 0.226000 6.973000 3.178238 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 38 47104 42340 0 10465 1 343 0 0 7 0 0 0 0 0 0 1 1 8 1 7 1460 1018 888 59136 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 6 2 - - 0 0 0 93.225000 92.152000 93.230000 0.000000 9000 0 - - 0.0 0.0 -
172.16.1.200 55542 18 0 17 3 11775 13 11775 0 0 8 1 1 172.16.1.1 50063 17 0 17 13 1906 2 1906 0 0 0 1 1 1537009291807.506104 1537009291993.810059 186.304000 27.059000 53.017000 118.941000 92.180000 26.213000 52.166000 1 1 0 0 8192 0 0 26.797664 25.107000 32.214000 3.038074 5 64 64 0.549986 0.244000 1.008000 0.368901 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 38 47104 42340 0 10063 1 343 0 0 8 0 0 0 0 0 0 1 1 8 1 8 1460 1018 888 60416 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 5 2 - - 0 0 0 93.225000 92.180000 93.230000 0.000000 9000 0 - - 0.0 0.0 -
172.16.1.200 55538 9 0 8 3 1767 4 1767 0 0 1 1 1 172.16.1.1 50063 9 0 9 5 1906 2 1906 0 0 0 1 1 1537009291807.508057 1537009292002.126953 194.619000 26.202000 52.229000 104.515000 102.356000 26.202000 50.863000 1 1 0 0 8192 0 0 28.173546 24.661000 36.774000 5.752712 4 64 64 0.916727 0.218000 2.143000 0.844762 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 1 343 0 0 1 0 0 0 0 0 0 1 1 8 1 1 1460 1018 888 35840 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 3 2 - - 0 0 0 104.499000 102.356000 104.515000 0.000000 1730 0 - - 0.0 0.0 -
172.16.1.200 33886 21179 0 21178 23 68055060 21154 68124272 58 69212 16437 1 1 172.16.1.1 50402 22630 0 22630 22626 1906 2 1906 0 0 0 1 1 1537009291428.246094 1537009303580.893066 12152.647000 24.900000 49.508000 11771.510000 86.369000 24.191000 49.138000 1 1 0 0 8192 0 0 28.748632 24.168000 37.714000 3.906919 472 64 64 2.286693 0.010000 9.103000 4.544168 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 65160 12 47104 42340 0 686840 1 343 0 92 16364 0 40 0 0 0 0 1 1 8 1 21438 1460 1018 888 918528 9472 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4395 2 - - 0 0 0 95.484000 86.369000 95.486000 0.000000 11082 0 - - 0.0 0.0 -
172.16.1.200 33888 19673 0 19672 23 67038003 19648 67069044 24 31041 15269 1 1 172.16.1.1 50402 20932 0 20932 20928 1906 2 1906 0 0 0 1 1 1537009291428.310059 1537009303580.941895 12152.632000 24.856000 59.884000 11715.627000 88.345000 24.166000 49.082000 1 1 0 0 8192 0 0 28.762566 24.130000 39.382000 3.808032 431 64 64 1.776456 0.012000 7.040000 3.509008 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 65160 38 47104 42340 0 640768 1 343 0 262 15014 0 18 0 0 0 0 1 1 8 1 19864 1460 1018 888 743680 28960 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 4051 2 - - 0 0 0 95.405000 88.345000 95.406000 0.000000 11082 0 - - 0.0 0.0 -
